original_text,augmented_text,similarity
राहुल गांधी ने दावा करते हुए कहा कि सरकार बनेगी तो कांग्रेस पार्टी की ही बनेगी इस दौरान राहुल ने BJP पर भी निशाना साधा है,गांधी जी ने दावा किया कि सरकार कांग्रेस पार्टी होगी जबकि राहुल भी भाजपा को निशाना बना रहे थे.,0.99899405
देश के युवा ने अपने दिल की बात बोलनी शुरू कर दी है देश का युवा रोजगार मांग रहा है। मोदी सरकार का अंत निकट है।,देश के युवाओं ने अपना हृदय बोलना शुरू कर दिया है। देश के युवाओं ने रोजगार की मांग की है। மோடி सरकार का अंत निकट है।,0.9995037
अच्छा हुआ योगी अयोध्या से चुनाव नहीं लड़े उन्हें विरोध झेलना पड़ता राम मंदिर के मुख्य पुजारी,योगी अयोध्या से चुनाव नहीं लड़ते थे। उन्हें राम मंदिर के मुख्य पुरोहित के विरोध का सामना करना पड़ता था।,0.9984349
में नेता ने फिर उगला जहर बोले फिर बाबर जैसा राज चलेगा सब्सक्राइब करें,"फिर उसने कहा, ""यह राज्य वैसा ही होगा जैसे बाबेल। अब तुम सब कुछ मानो।""",0.99688756
और सपा के दिमाग मे केवल एक ही जाति है बाकी जातियों के लिए उनके दिलो दिमाग मे नफरत भरी हुई है।,और सापा के मन में केवल एक जाति है और उनके हृदय अन्य जातियों के प्रति घृणा से भरे हैं।,0.9989885
अब आ गया आतंकवाद UP में कौन आबाद,अब आतंकवाद उभरा है जो उत्तर प्रदेश में निवास करता है,0.99771905
लखनऊ में बोले अखिलेश यादव भाजपा अफवाहों के साथ वोटों की हेराफेरी में जुटी,"लखनऊ में बोलते हुए, अलीलश यादव ने मतदान हाराफारी में भाजपा के अफवाहों को शामिल किया।",0.9985481
देश में जहांजहां मुस्लिम बहुसंख्यक हैं दंगे सिर्फ वहीं क्यों होते हैं देखिए राजनीतिक विश्लेषक ने ऐसा क्यों कहा,"एक देश में जहां मुसलमानों का बहुमत है, क्यों दंगे सिर्फ वहाँ हो रहे हैं? देखो क्यों राजनीतिक विश्लेषक ने कहा",0.99880964
आम आदमी पार्टी कोई भी वादा करके उसको पूरा कर सकती है क्योंकि उसके नेता चोर नही है और पब्लिक के पैसे से अपनी जायदाद नही बनाते। दूसरी कोई भी पार्टी वादा करके पूरा नही कर सकती क्योंकि वो भ्रष्टाचार से बाज़ नही आ सकते। चरण,आदमी पार्टी किसी भी वायदे से ऐसा कर सकती है क्योंकि इसके नेता चोर नहीं हैं और सार्वजनिक धन से पैसा नहीं कमाते। कोई अन्य पार्टी किसी भी वायदे से ऐसा नहीं कर सकती क्योंकि वे भ्रष्टाचार से छुटकारा नहीं पा सकते।,0.9980474
खैर जाने दो जब गुलामी ही करना है तो करो मेरा मकसद है ज्यादा से ज्यादा लोग असेम्बली पहुचे,"जब दासता की बात आती है, तो इसे करो। मेरा लक्ष्य यह है कि जितनी अधिक लोग सम्भव हो सकें वे सभा में आ सकें।",0.9971148
है ना केजरीवाल के झूठ को सच साबित करने के लिए केजरीवाल का महिमामंडित करने के लिए प्रणव राय ने केजरीवाल से मोटा माल जो ले रखा चिंता किस बात की,"नहीं, क्यों प्रनाव राय ने खलेयनी से खलेयनी के झूठों के सत्य को साबित करने के लिए खलेयनी को गौरवान्वित करने के लिए जो बोझिल पैसा ले लिया था उसके बारे में चिंता की?",0.9978701
देहरादून में प्रियंका ने फूंका चुनावी बिगुल देवभूमि से जोड़ा परिवार का नाता बीजेपी पर सिर्फ पैसा बर्बाद करने का लगाया आरोप।,"प्रियंका को केवल डेम्बोमी के परिवार के सदस्य पर पैसे बर्बाद करने का आरोप लगाया गया था, जो चुनाव अभियान में उनके साथ शामिल थे।",0.9982309
ने कहा जिस समय लोग पढ़े लिखे होंगे तो बीजेपी के झांसे में नहीं फंसेंगे हमें उम्मीद है कि इनकी सरकार जाते ही अन्याय खत्म होगा,जब लोग साक्षर होंगे तो वे भाजपा की राजनीति में शामिल नहीं होंगे। हम आशा करते हैं कि उनकी सरकार समाप्त होने के साथ ही अन्याय समाप्त हो जाएगा।,0.9982651
मुनव्वर राना ने हिन्दुओं को चेलेंज दिया है हिन्दुओं की संतानों जागो और योगीराज को बनाए रखो इसको देश ही नहीं दुनिया छोड़ने पर मजबूर करो वोट फॉर भाजपा इमरजेंसी से भी खराब योगी का कार्यकाल हिन्दुओ करके दिखाओ,"मुवेर राना ने हिन्दुओं को चुनौती दी हैः ""हिन्दूओं के बच्चों को जाओ और Yogiraj को बनाओ. उन्हें देश छोड़ दें और दुनिया को नहीं. भाजपा के लिए मत दें और गरीब Yogi के शब्द को हिंदुओं के रूप में दिखाएं.""",0.99810547
जब जनता कोरोना से लड़ रही थी हॉस्पिटल में बेड़ ऑक्सिजन उपलब्ध करवाने थे तब मोदी शाह योगी बंगाल प्रचार में ओदीदी ओदीदी करके भाजपा के लिये वोट मांग रहे थेभुलना नही है ये सिर्फ सत्ता के लोभी है याद रखना,"जब लोग कोरोना के खिलाफ अस्पताल में बीड ऑक्सीजन प्रदान करने के लिए लड़ रहे थे, मॉदी शाह योगी बंगाल अभियान में भाजपा के लिए मत मांग रहे थे. यह गलत नहीं है, यह सिर्फ शक्ति की भूख है. याद रखें",0.99854386
